alpha, P, Xmean, Xvar, Mmean, Mvar
0.000000, 430000.000000, 25364.705882, 0.000000, -1320215.367449, 1615699310431.881100
0.000000, 435000.000000, 25364.705882, 0.000000, 3888034.214322, 1877323015292.727300
0.000000, 440000.000000, 25364.705882, 0.000000, 9247183.049961, 1765430509059.702600
0.000000, 445000.000000, 25364.705882, 0.000000, 14526819.177672, 1956646333917.326400
0.000000, 450000.000000, 25364.705882, 0.000000, 20051778.784579, 1826701367200.431900
0.000000, 455000.000000, 25364.705882, 0.000000, 25194258.585671, 2067829798149.513200
0.000000, 460000.000000, 25364.705882, 0.000000, 30222050.999027, 1853811297658.237100
0.000000, 465000.000000, 25364.705882, 0.000000, 35298197.265255, 1940422962510.656000
0.000000, 470000.000000, 25364.705882, 0.000000, 40704911.409306, 1859627850950.497600
0.000000, 475000.000000, 25364.705882, 0.000000, 46000832.034582, 1820954098542.588100
0.000000, 480000.000000, 25364.705882, 0.000000, 51148851.501328, 1781972585627.037400
0.000000, 485000.000000, 25364.705882, 0.000000, 56445071.109496, 2394271262722.417500
0.000000, 490000.000000, 25364.705882, 0.000000, 61556183.444922, 1916196511993.241700
0.000000, 495000.000000, 25364.705882, 0.000000, 66867736.023521, 1933935798485.453600
0.000000, 500000.000000, 25364.705882, 0.000000, 72424342.433274, 1726657109031.219700
0.000000, 505000.000000, 25364.705882, 0.000000, 77554182.409247, 2082995692539.227100
0.000000, 510000.000000, 25364.705882, 0.000000, 83090346.028521, 1732413089195.968000
0.000000, 515000.000000, 25364.705882, 0.000000, 87794461.193916, 1882260044201.931900
0.000000, 520000.000000, 25364.705882, 0.000000, 93637867.392111, 1321190326320.008300
0.000000, 525000.000000, 25364.705882, 0.000000, 98709904.164094, 1688209548809.848400
0.000000, 530000.000000, 25364.705882, 0.000000, 104170583.260929, 1891600260669.575400
0.005000, 430000.000000, 25363.225645, 6007.437809, -1140222.965228, 1830783477248.805900
0.005000, 435000.000000, 25348.311747, 5567.098963, 4271106.188048, 1760508743126.355200
0.005000, 440000.000000, 25353.800732, 6728.960077, 9135399.678133, 1757187814684.080800
0.005000, 445000.000000, 25369.300949, 4724.205473, 14663396.853571, 2339565608406.465800
0.005000, 450000.000000, 25362.893540, 4706.169160, 19795415.467080, 2330788756179.139600
0.005000, 455000.000000, 25361.779297, 5849.060371, 24625166.105817, 2184551234891.089400
0.005000, 460000.000000, 25365.277927, 6049.220815, 30109253.299753, 1664543444219.391800
0.005000, 465000.000000, 25345.967026, 6007.828422, 35538828.115236, 1997095282712.019300
0.005000, 470000.000000, 25375.165669, 5096.785262, 40837359.200363, 1887989618163.142300
0.005000, 475000.000000, 25370.592942, 6045.212591, 45993448.356505, 2621517532935.175300
0.005000, 480000.000000, 25364.920082, 4105.068049, 51150520.362854, 1658067247419.359900
0.005000, 485000.000000, 25366.844672, 5670.797564, 56639132.567367, 2274551456206.385300
0.005000, 490000.000000, 25350.979703, 6028.430803, 61759540.018402, 2038607139497.799300
0.005000, 495000.000000, 25355.782173, 5575.574955, 67206456.432754, 2348576878364.606000
0.005000, 500000.000000, 25362.789573, 4827.050218, 72257928.432710, 1735401143712.537600
0.005000, 505000.000000, 25370.441776, 5225.157122, 77461751.149044, 1786340856414.154300
0.005000, 510000.000000, 25362.417650, 4516.772450, 82993644.285069, 2238028416508.401400
0.005000, 515000.000000, 25369.481964, 7147.173476, 88242953.485646, 2080884597566.849900
0.005000, 520000.000000, 25367.159718, 4484.634690, 93290340.633120, 2011723638729.147500
0.005000, 525000.000000, 25367.777725, 5713.054413, 98483376.325182, 2339520828836.191900
0.005000, 530000.000000, 25365.545235, 6321.895390, 103788168.893480, 2104259793117.078900
0.010000, 430000.000000, 25365.122580, 19731.795888, -1320543.971794, 1894929295367.887000
